Organization,Role(s),Website,Email,Source notes
VISA INTERNATIONAL SERVICE ASSOCIATION,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Wadaie Assets Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
WAMID,Investor,https://wamid.sa/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://wamid.sa/ during this pass
WIDTH Pte. Ltd.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
WLTW,Sponsor,https://www.wltw.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.wltw.com/ during this pass
WUKAD ALHULUL Company For Finance Aggregator Service,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
XYOVA,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Yallah Business AI,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
YSF Smart Solutions,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Yubi,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"Zakat, Tax and Customs Authority",Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Zest Equity,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Zoho,Sponsor,https://www.zoho.com/,press@zohocorp.com,Silver. Source: https://money2020middleeast.com/sponsors-partners; verified on zoho contactus page
Zoho Technologies Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
ZTO,Sponsor,https://zto.world/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://zto.world/ during this pass
